Candidate,Gender,Age,Race,Education,Department,Salary,Decision
A,Male,28,White,Bachelor,Engineering,65000,Selected
B,Female,26,Black,Bachelor,Engineering,60000,Rejected
C,Male,35,White,Master,Sales,75000,Selected
D,Female,33,Hispanic,Master,Sales,70000,Rejected
E,Male,29,White,Bachelor,HR,55000,Selected
F,Female,27,Black,Bachelor,HR,52000,Rejected
G,Male,40,Asian,PhD,Engineering,90000,Selected
H,Female,38,White,Master,Engineering,80000,Selected
I,Male,25,Hispanic,Bachelor,Sales,50000,Rejected
J,Female,24,Black,Bachelor,Sales,48000,Rejected
K,Male,45,White,Master,HR,70000,Selected
L,Female,42,Asian,Master,Engineering,75000,Selected
M,Male,31,Black,Bachelor,Sales,55000,Selected
N,Female,29,White,Bachelor,HR,52000,Rejected
O,Male,33,Hispanic,Master,Engineering,80000,Selected
P,Female,32,Black,Bachelor,Sales,58000,Rejected
Q,Male,37,White,PhD,Engineering,95000,Selected
R,Female,36,Asian,PhD,Engineering,90000,Selected
S,Male,23,White,Bachelor,Sales,45000,Rejected
T,Female,22,Hispanic,Bachelor,HR,43000,Rejected
U,Male,50,White,Master,Engineering,85000,Selected
V,Female,48,Black,Bachelor,Sales,55000,Rejected
W,Male,27,Asian,Bachelor,HR,58000,Selected
X,Female,26,White,Master,Engineering,72000,Rejected
